 ,,,,,,,
      (shillings million),,,,,,,
FISCAL YEAR,Treasury Bills*,Treasury Bonds,Government Stocks,Overdraft at Central Bank,Advances from Commercial Banks,Other Domestic Debt**,Total Domestic Debt***
9-Sep,"155,524.35","386,074.05",754.7043,"8,013.20",91.11709599,156.3848432,"550,613.80"
9-Oct,"166,879.40","389,887.45",754.7043,"9,334.74",114.21027,154.6339724,"567,125.13"
9-Nov,"171,069.20","381,042.80",754.7043,"9,829.42",89.56248495,141.1053861,"562,926.79"
9-Dec,"174,160.70","402,688.35",754.7043,"11,127.92",129.601925,109.0439686,"588,970.31"
10-Jan,"174,479.10","395,461.20",754.7043,"9,179.71",686.8786557,159.8787236,"580,721.47"
10-Feb,"187,066.75","408,003.35",753.3494,"11,426.82",123.1153697,139.2242029,"607,512.61"
10-Mar,"194,059.15","437,474.35",753.3494,"6,544.79",462.9176062,161.5677856,"639,456.12"
10-Apr,"208,902.05","442,356.25",753.3494,"1,109.31",182.5533453,310.9055849,"653,614.42"
10-May,"199,745.10","443,434.50",753.3494,"5,237.37",937.1079486,154.536892,"650,261.96"
10-Jun,"191,267.55","448,615.35",753.3494,"17,649.38","1,595.86",386.2031004,"660,267.68"
10-Jul,"190,422.50","459,274.45",753.3494,"15,508.55","1,668.37",176.2041359,"667,803.42"
10-Aug,"184,014.30","488,492.30",753.3494,"22,926.07","1,708.69",152.6488908,"698,047.35"
10-Sep,"181,138.05","501,233.25",0,"20,563.11","1,608.36",159.9939389,"704,702.77"
10-Oct,"176,380.85","498,137.90",0,"19,961.29","1,485.23",167.3827336,"696,132.65"
10-Nov,"168,117.15","517,794.50",0,"22,926.07","1,462.77","1,148.49","711,448.98"
10-Dec,"165,104.75","529,871.50",0,"22,665.77","1,546.08","1,019.87","720,207.97"
11-Jan,"167,344.35","538,569.95",0,"17,628.60","1,653.89","5,000.98","730,197.77"
11-Feb,"162,311.40","558,130.90",0,"22,926.07","2,214.27","1,087.65","746,670.28"
11-Mar,"160,174.00","570,774.25",0,"19,727.19","2,360.78","1,011.88","754,048.10"
11-Apr,"134,537.50","574,489.65",0,"22,926.07","2,335.83","1,171.01","735,460.06"
11-May,"135,140.15","585,388.65",0,"22,926.07","2,160.74",959.1246012,"746,574.73"
11-Jun,"157,388.10","595,661.35",0,"7,571.00","2,243.30","1,359.05","764,222.80"
11-Jul,"150,106.10","600,953.95",0,"19,933.56","2,650.50","8,068.92","781,713.03"
11-Aug,"143,716.90","603,838.95",0,"25,533.14","2,750.09","1,013.51","776,852.60"
11-Sep,"144,521.30","591,518.50",0,"25,373.20","2,335.90",525.6850279,"764,274.59"
11-Oct,"159,349.10","605,849.50",0,"25,373.20","3,505.02",488.7403806,"794,565.56"
11-Nov,"146,778.55","616,151.05",0,"25,373.20","2,380.67","13,210.87","803,894.34"
11-Dec,"137,873.40","633,549.35",0,"25,373.20","2,639.49",444.6165892,"799,880.06"
12-Jan,"140,384.55","658,083.80",0,"25,373.20","2,473.64",913.8669983,"827,229.06"
12-Feb,"170,427.00","668,595.40",0,"25,373.20","2,802.37",899.6438947,"868,097.62"
12-Mar,"175,250.90","683,565.25",0,"25,373.20","2,760.93",921.1116305,"887,871.40"
12-Apr,"177,399.25","689,983.30",0,"25,373.20","2,313.67",967.3005816,"896,036.72"
12-May,"168,295.45","692,521.10",0,"25,373.20","2,006.29",860.7737454,"889,056.81"
12-Jun,"161,830.05","686,950.90",0,"7,256.50","2,255.71",536.3937151,"858,829.55"
12-Jul,"151,664.55","692,988.20",0,"25,373.20","1,757.75",376.9314526,"872,160.63"
12-Aug,"176,086.65","704,725.00",0,"17,717.98","3,020.19",384.5661923,"901,934.38"
12-Sep,"189,525.20","703,884.90",0,"25,373.20","3,020.82",392.6125798,"922,196.74"
12-Oct,"182,914.05","717,649.20",0,"25,373.20","3,002.05",383.6564998,"929,322.16"
12-Nov,"213,990.20","715,343.10",0,"25,373.20","3,355.91",376.8269049,"958,439.24"
12-Dec,"226,042.45","716,068.60",0,"25,373.20","3,407.60",373.8956576,"971,265.74"
13-Jan,"233,713.70","715,568.60",0,"25,373.20","3,349.13",331.578233,"978,336.22"
13-Feb,"194,105.80","717,152.00",0,"25,373.20","6,797.95",320.8713874,"943,749.82"
13-Mar,"215,979.40","733,204.55",0,"25,373.20","7,127.02",226.7590398,"981,910.93"
13-Apr,"283,449.75","740,996.00",0,"34,186.64","6,512.77",464.2342762,"1,065,609.39"
13-May,"290,628.65","746,878.70",0,"34,186.64","2,908.60",195.0923055,"1,074,797.69"
13-Jun,"296,593.75","744,173.90",0,"6,998.80","2,578.47",283.4849565,"1,050,628.41"
13-Jul,"283,618.00","776,690.35",0,"15,488.16","2,638.17",169.1710045,"1,078,603.85"
13-Aug,"306,839.45","774,401.30",0,"32,718.83","2,538.21",178.2694047,"1,116,676.06"
13-Sep,"336,453.25","811,854.30",0,"34,186.64","2,426.74",208.7669505,"1,185,129.70"
13-Oct,"340,867.75","801,846.80",0,"27,979.68","3,851.64",236.6661605,"1,174,782.53"
13-Nov,"338,905.90","793,356.35",0,"34,186.64","3,437.85",166.7386855,"1,170,053.48"
13-Dec,"336,089.95","816,289.40",0,"34,186.64","2,439.21",177.6509908,"1,189,182.86"
14-Jan,"344,532.60","831,319.55",0,"22,473.86","2,382.34",193.7627512,"1,200,902.12"
14-Feb,"346,034.25","843,583.55",0,"34,186.64","5,435.47",176.6266688,"1,229,416.54"
14-Mar,"331,056.55","863,559.95",0,"34,186.64","2,211.12",169.0952695,"1,231,183.36"
14-Apr,"304,969.20","874,653.10",0,"34,186.64","2,956.45",206.9975448,"1,216,972.39"
14-May,"303,085.65","886,920.55",0,"39,123.22","3,190.08",168.834217,"1,232,488.34"
14-Jun,"327,679.15","914,762.40",0,"37,237.94","4,448.51",199.5622786,"1,284,327.56"
14-Jul,"346,903.95","914,355.25",0,"31,657.71","3,360.92",167.1874848,"1,296,445.02"
14-Aug,"333,331.95","913,247.45",0,"30,377.85","3,977.01",159.7525454,"1,281,094.02"
14-Sep,"303,758.60","919,851.75",0,"34,374.23","2,739.16",150.6823329,"1,260,874.43"
14-Oct,"311,615.80","941,568.35",0,"18,300.92","2,128.81",767.9636998,"1,274,381.83"
14-Nov,"329,722.35","953,698.15",0,"16,486.99","3,291.03",164.6490566,"1,303,363.18"
14-Dec,"318,574.20","955,000.25",0,"30,929.46","3,089.51",155.1600924,"1,307,748.58"
15-Jan,"326,463.20","977,080.25",0,"27,486.55","3,454.26",158.4072364,"1,334,642.67"
15-Feb,"335,289.25","981,873.08",0,"34,198.39","2,647.73",170.9469614,"1,354,179.40"
15-Mar,"369,446.35","1,013,104.63",0,"37,398.42","2,594.42",191.8469445,"1,422,735.67"
15-Apr,"374,136.60","1,010,044.38",0,"29,769.47","2,190.15",167.663902,"1,416,308.27"
15-May,"361,446.10","1,023,826.33",0,"21,095.00","2,270.10",157.5556775,"1,408,795.09"
15-Jun,"345,543.15","1,036,583.43",0,"36,494.18","2,488.47",211.8928555,"1,421,321.13"
15-Jul,"325,478.95","1,049,045.13",0,"41,684.15","3,068.84",167.9142292,"1,419,444.99"
15-Aug,"313,047.70","1,042,673.63",0,"46,074.67","2,013.09",167.8631952,"1,403,976.96"
15-Sep,"293,211.75","1,048,169.13",0,"45,923.88","1,716.60",473.7259487,"1,389,495.09"
15-Oct,"348,309.75","1,068,651.88",0,"36,873.24","1,430.89",212.4012177,"1,455,478.17"
15-Nov,"404,263.35","1,084,352.63",0,"36,495.06","1,441.37",247.5396958,"1,526,799.95"
15-Dec,"417,425.10","1,075,434.58",0,"45,232.56","5,446.31",155.414996,"1,543,693.96"
16-Jan,"404,324.80","1,078,242.93",0,"35,665.27","5,726.48",449.2743198,"1,524,408.76"
